ISO,Country,Region,Sub-region
CPV,Cabo Verde,Africa,Sub-Saharan Africa
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa
GMB,Gambia,Africa,Sub-Saharan Africa
GHA,Ghana,Africa,Sub-Saharan Africa
GIN,Guinea,Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa
LBR,Liberia,Africa,Sub-Saharan Africa
MLI,Mali,Africa,Sub-Saharan Africa
MRT,Mauritania,Africa,Sub-Saharan Africa
NER,Niger,Africa,Sub-Saharan Africa
NGA,Nigeria,Africa,Sub-Saharan Africa
SHN,Saint Helena,Africa,Sub-Saharan Africa
SEN,Senegal,Africa,Sub-Saharan Africa
SLE,Sierra Leone,Africa,Sub-Saharan Africa
TGO,Togo,Africa,Sub-Saharan Africa
AIA,Anguilla,Americas,Latin America and the Caribbean
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
ABW,Aruba,Americas,Latin America and the Caribbean
BHS,Bahamas,Americas,Latin America and the Caribbean
BRB,Barbados,Americas,Latin America and the Caribbean
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
VGB,British Virgin Islands,Americas,Latin America and the Caribbean
CYM,Cayman Islands,Americas,Latin America and the Caribbean
CUB,Cuba,Americas,Latin America and the Caribbean
CUW,Curaçao,Americas,Latin America and the Caribbean
DMA,Dominica,Americas,Latin America and the Caribbean
DOM,Dominican Republic,Americas,Latin America and the Caribbean
GRD,Grenada,Americas,Latin America and the Caribbean
GLP,Guadeloupe,Americas,Latin America and the Caribbean
HTI,Haiti,Americas,Latin America and the Caribbean
JAM,Jamaica,Americas,Latin America and the Caribbean
MTQ,Martinique,Americas,Latin America and the Caribbean
MSR,Montserrat,Americas,Latin America and the Caribbean
PRI,Puerto Rico,Americas,Latin America and the Caribbean
BLM,Saint Barthélemy,Americas,Latin America and the Caribbean
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
LCA,Saint Lucia,Americas,Latin America and the Caribbean
MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean
VIR,United States Virgin Islands,Americas,Latin America and the Caribbean
BLZ,Belize,Americas,Latin America and the Caribbean
CRI,Costa Rica,Americas,Latin America and the Caribbean
SLV,El Salvador,Americas,Latin America and the Caribbean
GTM,Guatemala,Americas,Latin America and the Caribbean
HND,Honduras,Americas,Latin America and the Caribbean
MEX,Mexico,Americas,Latin America and the Caribbean
NIC,Nicaragua,Americas,Latin America and the Caribbean
PAN,Panama,Americas,Latin America and the Caribbean
ARG,Argentina,Americas,Latin America and the Caribbean
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
BVT,Bouvet Island,Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
CHL,Chile,Americas,Latin America and the Caribbean
COL,Colombia,Americas,Latin America and the Caribbean
ECU,Ecuador,Americas,Latin America and the Caribbean
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean
GUF,French Guiana,Americas,Latin America and the Caribbean
GUY,Guyana,Americas,Latin America and the Caribbean
PRY,Paraguay,Americas,Latin America and the Caribbean
PER,Peru,Americas,Latin America and the Caribbean
SGS,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
SUR,Suriname,Americas,Latin America and the Caribbean
URY,Uruguay,Americas,Latin America and the Caribbean
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
BMU,Bermuda,Americas,Northern America
CAN,Canada,Americas,Northern America
GRL,Greenland,Americas,Northern America
SPM,Saint Pierre and Miquelon,Americas,Northern America
USA,United States of America,Americas,Northern America
ATA,Antarctica,,
KAZ,Kazakhstan,Asia,Central Asia
KGZ,Kyrgyzstan,Asia,Central Asia
TJK,Tajikistan,Asia,Central Asia
TKM,Turkmenistan,Asia,Central Asia
UZB,Uzbekistan,Asia,Central Asia
CHN,China,Asia,Eastern Asia
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia
PRK,Democratic People's Republic of Korea,Asia,Eastern Asia
JPN,Japan,Asia,Eastern Asia
MNG,Mongolia,Asia,Eastern Asia
KOR,Republic of Korea,Asia,Eastern Asia
BRN,Brunei Darussalam,Asia,South-eastern Asia
KHM,Cambodia,Asia,South-eastern Asia
IDN,Indonesia,Asia,South-eastern Asia
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia
MYS,Malaysia,Asia,South-eastern Asia
MMR,Myanmar,Asia,South-eastern Asia
PHL,Philippines,Asia,South-eastern Asia
SGP,Singapore,Asia,South-eastern Asia
THA,Thailand,Asia,South-eastern Asia
TLS,Timor-Leste,Asia,South-eastern Asia
VNM,Viet Nam,Asia,South-eastern Asia
AFG,Afghanistan,Asia,Southern Asia
BGD,Bangladesh,Asia,Southern Asia
BTN,Bhutan,Asia,Southern Asia
IND,India,Asia,Southern Asia
IRN,Iran (Islamic Republic of),Asia,Southern Asia
MDV,Maldives,Asia,Southern Asia
NPL,Nepal,Asia,Southern Asia
PAK,Pakistan,Asia,Southern Asia
LKA,Sri Lanka,Asia,Southern Asia
ARM,Armenia,Asia,Western Asia
AZE,Azerbaijan,Asia,Western Asia
BHR,Bahrain,Asia,Western Asia
CYP,Cyprus,Asia,Western Asia
GEO,Georgia,Asia,Western Asia
IRQ,Iraq,Asia,Western Asia
ISR,Israel,Asia,Western Asia
JOR,Jordan,Asia,Western Asia
KWT,Kuwait,Asia,Western Asia
LBN,Lebanon,Asia,Western Asia
OMN,Oman,Asia,Western Asia
QAT,Qatar,Asia,Western Asia
SAU,Saudi Arabia,Asia,Western Asia
PSE,State of Palestine,Asia,Western Asia
SYR,Syrian Arab Republic,Asia,Western Asia
TUR,Türkiye,Asia,Western Asia
ARE,United Arab Emirates,Asia,Western Asia
YEM,Yemen,Asia,Western Asia
BLR,Belarus,Europe,Eastern Europe
BGR,Bulgaria,Europe,Eastern Europe
CZE,Czechia,Europe,Eastern Europe
HUN,Hungary,Europe,Eastern Europe
POL,Poland,Europe,Eastern Europe
MDA,Republic of Moldova,Europe,Eastern Europe
ROU,Romania,Europe,Eastern Europe
RUS,Russian Federation,Europe,Eastern Europe
SVK,Slovakia,Europe,Eastern Europe
UKR,Ukraine,Europe,Eastern Europe
ALA,Åland Islands,Europe,Northern Europe
DNK,Denmark,Europe,Northern Europe
EST,Estonia,Europe,Northern Europe
FRO,Faroe Islands,Europe,Northern Europe
FIN,Finland,Europe,Northern Europe
GGY,Guernsey,Europe,Northern Europe
ISL,Iceland,Europe,Northern Europe
IRL,Ireland,Europe,Northern Europe
IMN,Isle of Man,Europe,Northern Europe
JEY,Jersey,Europe,Northern Europe
LVA,Latvia,Europe,Northern Europe
LTU,Lithuania,Europe,Northern Europe
NOR,Norway,Europe,Northern Europe
SJM,Svalbard and Jan Mayen Islands,Europe,Northern Europe
SWE,Sweden,Europe,Northern Europe
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
ALB,Albania,Europe,Southern Europe
AND,Andorra,Europe,Southern Europe
BIH,Bosnia and Herzegovina,Europe,Southern Europe
HRV,Croatia,Europe,Southern Europe
GIB,Gibraltar,Europe,Southern Europe
GRC,Greece,Europe,Southern Europe
VAT,Holy See,Europe,Southern Europe
ITA,Italy,Europe,Southern Europe
MLT,Malta,Europe,Southern Europe
MNE,Montenegro,Europe,Southern Europe
MKD,North Macedonia,Europe,Southern Europe
PRT,Portugal,Europe,Southern Europe
SMR,San Marino,Europe,Southern Europe
SRB,Serbia,Europe,Southern Europe
SVN,Slovenia,Europe,Southern Europe
ESP,Spain,Europe,Southern Europe
AUT,Austria,Europe,Western Europe
BEL,Belgium,Europe,Western Europe
FRA,France,Europe,Western Europe
DEU,Germany,Europe,Western Europe
LIE,Liechtenstein,Europe,Western Europe
LUX,Luxembourg,Europe,Western Europe
MCO,Monaco,Europe,Western Europe
NLD,Netherlands (Kingdom of the),Europe,Western Europe
CHE,Switzerland,Europe,Western Europe
AUS,Australia,Oceania,Australia and New Zealand
CXR,Christmas Island,Oceania,Australia and New Zealand
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
HMD,Heard Island and McDonald Islands,Oceania,Australia and New Zealand
NZL,New Zealand,Oceania,Australia and New Zealand
NFK,Norfolk Island,Oceania,Australia and New Zealand
FJI,Fiji,Oceania,Melanesia
NCL,New Caledonia,Oceania,Melanesia
PNG,Papua New Guinea,Oceania,Melanesia
SLB,Solomon Islands,Oceania,Melanesia
VUT,Vanuatu,Oceania,Melanesia
GUM,Guam,Oceania,Micronesia
KIR,Kiribati,Oceania,Micronesia
MHL,Marshall Islands,Oceania,Micronesia
FSM,Micronesia (Federated States of),Oceania,Micronesia
NRU,Nauru,Oceania,Micronesia
MNP,Northern Mariana Islands,Oceania,Micronesia
PLW,Palau,Oceania,Micronesia
UMI,United States Minor Outlying Islands,Oceania,Micronesia
ASM,American Samoa,Oceania,Polynesia
COK,Cook Islands,Oceania,Polynesia
PYF,French Polynesia,Oceania,Polynesia
NIU,Niue,Oceania,Polynesia
PCN,Pitcairn,Oceania,Polynesia
WSM,Samoa,Oceania,Polynesia
TKL,Tokelau,Oceania,Polynesia
TON,Tonga,Oceania,Polynesia
TUV,Tuvalu,Oceania,Polynesia
WLF,Wallis and Futuna Islands,Oceania,Polynesia
